-5,-25, -5
5,-25, -5
15,-25, -5
25,-25, -5
35,-25, -5
45,-25, -5
-45,-15, -5
-35,-15, -5
-25,-15, -5
-15,-15, -5
-5,-15, -5
5,-15, -5
15,-15, -5
25,-15, -5
35,-15, -5
45,-15, -5
-45,-5, -5
-35,-5, -5
-25,-5, -5
-15,-5, -5
-5,-5, -5
5,-5, -5
15,-5, -5
25,-5, -5
35,-5, -5
45,-5, -5
-45,5, -5
-35,5, -5
-25,5, -5
-15,5, -5
-5,5, -5
5,5, -5
15,5, -5
25,5, -5
35,5, -5
45,5, -5
-45,15, -5
-35,15, -5
-25,15, -5
-15,15, -5
-5,15, -5
5,15, -5
15,15, -5
25,15, -5
35,15, -5
45,15, -5
-45,25, -5
-35,25, -5
-25,25, -5
-15,25, -5
-5,25, -5
5,25, -5
15,25, -5
25,25, -5
35,25, -5
45,25, -5
-45,35, -5
-35,35, -5
-25,35, -5
-15,35, -5
-5,35, -5
5,35, -5
15,35, -5
25,35, -5
35,35, -5
45,35, -5
-45,45, -5
-35,45, -5
-25,45, -5
-15,45, -5
-5,45, -5
5,45, -5
15,45, -5
25,45, -5
35,45, -5
45,45, -5
-45,-45, 5
-35,-45, 5
-25,-45, 5
-15,-45, 5
-5,-45, 5
5,-45, 5
15,-45, 5
25,-45, 5
35,-45, 5
45,-45, 5
-45,-35, 5
-35,-35, 5
-25,-35, 5
-15,-35, 5
-5,-35, 5
5,-35, 5
15,-35, 5
25,-35, 5
35,-35, 5
45,-35, 5
-45,-25, 5
-35,-25, 5
-25,-25, 5
-15,-25, 5
-5,-25, 5
5,-25, 5
15,-25, 5
25,-25, 5
35,-25, 5
45,-25, 5
-45,-15, 5
-35,-15, 5
-25,-15, 5
-15,-15, 5
-5,-15, 5
5,-15, 5
15,-15, 5
25,-15, 5
35,-15, 5
45,-15, 5
-45,-5, 5
-35,-5, 5
-25,-5, 5
-15,-5, 5
-5,-5, 5
5,-5, 5
15,-5, 5
25,-5, 5
35,-5, 5
45,-5, 5
-45,5, 5
-35,5, 5
-25,5, 5
-15,5, 5
-5,5, 5
5,5, 5
15,5, 5
25,5, 5
35,5, 5
45,5, 5
-45,15, 5
-35,15, 5
-25,15, 5
-15,15, 5
-5,15, 5
5,15, 5
15,15, 5
25,15, 5
35,15, 5
45,15, 5
-45,25, 5
-35,25, 5
-25,25, 5
-15,25, 5
-5,25, 5
5,25, 5
15,25, 5
25,25, 5
35,25, 5
45,25, 5
-45,35, 5
-35,35, 5
-25,35, 5
-15,35, 5
-5,35, 5
5,35, 5
15,35, 5
25,35, 5
35,35, 5
45,35, 5
-45,45, 5
-35,45, 5
-25,45, 5
-15,45, 5
-5,45, 5
5,45, 5
15,45, 5
25,45, 5
35,45, 5
45,45, 5
-45,-45, 15
-35,-45, 15
-25,-45, 15
-15,-45, 15
-5,-45, 15
5,-45, 15
15,-45, 15
25,-45, 15
35,-45, 15
45,-45, 15
-45,-35, 15
-35,-35, 15
-25,-35, 15
-15,-35, 15
-5,-35, 15
5,-35, 15
15,-35, 15
25,-35, 15
35,-35, 15
45,-35, 15
-45,-25, 15
-35,-25, 15
-25,-25, 15
-15,-25, 15
-5,-25, 15
5,-25, 15
15,-25, 15
25,-25, 15
35,-25, 15
45,-25, 15
-45,-15, 15
-35,-15, 15
-25,-15, 15
-15,-15, 15
-5,-15, 15
5,-15, 15
15,-15, 15
25,-15, 15
35,-15, 15
45,-15, 15
-45,-5, 15
-35,-5, 15
-25,-5, 15
-15,-5, 15
-5,-5, 15
5,-5, 15
15,-5, 15
25,-5, 15
35,-5, 15
45,-5, 15
-45,5, 15
-35,5, 15
-25,5, 15
-15,5, 15
-5,5, 15
5,5, 15
15,5, 15
25,5, 15
35,5, 15
45,5, 15
-45,15, 15
-35,15, 15
-25,15, 15
-15,15, 15
-5,15, 15
5,15, 15
15,15, 15
25,15, 15
35,15, 15
45,15, 15
-45,25, 15
-35,25, 15
-25,25, 15
-15,25, 15
-5,25, 15
5,25, 15
15,25, 15
25,25, 15
35,25, 15
45,25, 15
-45,35, 15
-35,35, 15
-25,35, 15
-15,35, 15
-5,35, 15
5,35, 15
15,35, 15
25,35, 15
35,35, 15
45,35, 15
-45,45, 15
-35,45, 15
-25,45, 15
-15,45, 15
-5,45, 15
5,45, 15
15,45, 15
25,45, 15
35,45, 15
45,45, 15
-45,-45, 25
-35,-45, 25
-25,-45, 25
-15,-45, 25
-5,-45, 25
5,-45, 25
15,-45, 25
25,-45, 25
35,-45, 25
45,-45, 25
-45,-35, 25
-35,-35, 25
-25,-35, 25
-15,-35, 25
-5,-35, 25
5,-35, 25
15,-35, 25
25,-35, 25
35,-35, 25
45,-35, 25
-45,-25, 25
-35,-25, 25
-25,-25, 25
-15,-25, 25
-5,-25, 25
5,-25, 25
15,-25, 25
25,-25, 25
35,-25, 25
45,-25, 25
-45,-15, 25
-35,-15, 25
-25,-15, 25
-15,-15, 25
-5,-15, 25
5,-15, 25
15,-15, 25
25,-15, 25
35,-15, 25
45,-15, 25
-45,-5, 25
-35,-5, 25
-25,-5, 25
-15,-5, 25
-5,-5, 25
5,-5, 25
15,-5, 25
25,-5, 25
35,-5, 25
45,-5, 25
-45,5, 25
-35,5, 25
-25,5, 25
-15,5, 25
-5,5, 25
5,5, 25
15,5, 25
25,5, 25
35,5, 25
45,5, 25
-45,15, 25
-35,15, 25
-25,15, 25
-15,15, 25
-5,15, 25
5,15, 25
15,15, 25
25,15, 25
35,15, 25
45,15, 25
-45,25, 25
-35,25, 25
-25,25, 25
-15,25, 25
-5,25, 25
5,25, 25
15,25, 25
25,25, 25
35,25, 25
45,25, 25
-45,35, 25
-35,35, 25
-25,35, 25
-15,35, 25
-5,35, 25
5,35, 25
15,35, 25
25,35, 25
35,35, 25
45,35, 25
-45,45, 25
-35,45, 25
-25,45, 25
-15,45, 25
-5,45, 25
5,45, 25
15,45, 25
25,45, 25
35,45, 25
45,45, 25
-45,-45, 35
-35,-45, 35
-25,-45, 35
-15,-45, 35
-5,-45, 35
5,-45, 35
15,-45, 35
25,-45, 35
35,-45, 35
45,-45, 35
-45,-35, 35
-35,-35, 35
-25,-35, 35
-15,-35, 35
-5,-35, 35
5,-35, 35
15,-35, 35
25,-35, 35
35,-35, 35
45,-35, 35
-45,-25, 35
-35,-25, 35
-25,-25, 35
-15,-25, 35
-5,-25, 35
5,-25, 35
15,-25, 35
25,-25, 35
35,-25, 35
45,-25, 35
-45,-15, 35
-35,-15, 35
-25,-15, 35
-15,-15, 35
-5,-15, 35
5,-15, 35
15,-15, 35
25,-15, 35
35,-15, 35
45,-15, 35
-45,-5, 35
-35,-5, 35
-25,-5, 35
-15,-5, 35
-5,-5, 35
5,-5, 35
15,-5, 35
25,-5, 35
35,-5, 35
45,-5, 35
-45,5, 35
-35,5, 35
-25,5, 35
-15,5, 35
-5,5, 35
5,5, 35
15,5, 35
25,5, 35
35,5, 35
45,5, 35
-45,15, 35
-35,15, 35
-25,15, 35
-15,15, 35
-5,15, 35
5,15, 35
15,15, 35
25,15, 35
35,15, 35
45,15, 35
-45,25, 35
-35,25, 35
-25,25, 35
-15,25, 35
-5,25, 35
5,25, 35
15,25, 35
25,25, 35
35,25, 35
45,25, 35
-45,35, 35
-35,35, 35
-25,35, 35
-15,35, 35
-5,35, 35
5,35, 35
15,35, 35
25,35, 35
35,35, 35
45,35, 35
-45,45, 35
-35,45, 35
-25,45, 35
-15,45, 35
-5,45, 35
5,45, 35
15,45, 35
25,45, 35
35,45, 35
45,45, 35
-45,-45, 45
-35,-45, 45
-25,-45, 45
-15,-45, 45
-5,-45, 45
5,-45, 45
15,-45, 45
25,-45, 45
35,-45, 45
45,-45, 45
-45,-35, 45
-35,-35, 45
-25,-35, 45
-15,-35, 45
-5,-35, 45
5,-35, 45
15,-35, 45
25,-35, 45
35,-35, 45
45,-35, 45
-45,-25, 45
-35,-25, 45
-25,-25, 45
-15,-25, 45
-5,-25, 45
5,-25, 45
15,-25, 45
25,-25, 45
35,-25, 45
45,-25, 45
-45,-15, 45
-35,-15, 45
-25,-15, 45
-15,-15, 45
-5,-15, 45
5,-15, 45
15,-15, 45
25,-15, 45
35,-15, 45
45,-15, 45
-45,-5, 45
-35,-5, 45
-25,-5, 45
-15,-5, 45
-5,-5, 45
5,-5, 45
15,-5, 45
25,-5, 45
35,-5, 45
45,-5, 45
-45,5, 45
-35,5, 45
-25,5, 45
-15,5, 45
-5,5, 45
5,5, 45
15,5, 45
25,5, 45
35,5, 45
45,5, 45
-45,15, 45
-35,15, 45
-25,15, 45
-15,15, 45
-5,15, 45
5,15, 45
15,15, 45
25,15, 45
35,15, 45
45,15, 45
-45,25, 45
-35,25, 45
-25,25, 45
-15,25, 45
-5,25, 45
5,25, 45
15,25, 45
25,25, 45
35,25, 45
45,25, 45
-45,35, 45
-35,35, 45
-25,35, 45
-15,35, 45
-5,35, 45
5,35, 45
15,35, 45
25,35, 45
35,35, 45
45,35, 45
-45,45, 45
-35,45, 45
-25,45, 45
-15,45, 45
-5,45, 45
5,45, 45
15,45, 45
25,45, 45
35,45, 45
45,45, 45
